filename,pool,file_path,linked_from_root,meet_name,date_raw,date_start,date_end,location,source,file_size_bytes,notes
00SrNats.htm,Results,public/LiftTilYaDie/Results/00SrNats.htm,True,2000 USAW SENIOR NATIONALS,"March 10 - 12, 2000",2000-03-10,2000-03-12,"USA WEIGHTLIFTING SENIOR NATIONALS Frederick, MD",,101613,duplicate_exists_in_root
01AmOpen.htm,Results,public/LiftTilYaDie/Results/01AmOpen.htm,True,2001 AMERICAN OPEN,"DECEMBER 7 - 9, 2001",2001-12-07,2001-12-09,DOMESTIC DIVISION,,161803,duplicate_exists_in_root; has_record_notations; large_file_possibly_multi_meet
01GldWst.htm,Results,public/LiftTilYaDie/Results/01GldWst.htm,False,2001 Golden West Open,"November 3, 2001",2001-11-03,2001-11-03,"Chico State University, Chico, CA",,39013,duplicate_exists_in_root
01HighDesert.htm,Results,public/LiftTilYaDie/Results/01HighDesert.htm,False,2001 HIGH DESERT OPEN,2001,2001,,"HIGH DESERT OPEN RENO, NV",,13080,
01JrNats.htm,Results,public/LiftTilYaDie/Results/01JrNats.htm,False,2001 NATIONAL JUNIORS,"MARCH 16 - 18, 2001",2001-03-16,2001-03-18,JUNIOR NATIONALS,,257224,duplicate_exists_in_root; has_record_notations; large_file_possibly_multi_meet
01NatJrs.htm,Results,public/LiftTilYaDie/Results/01NatJrs.htm,True,2001 NATIONAL JUNIORS,"MARCH 16 - 18, 2001",2001-03-16,2001-03-18,NATIONAL JUNIORS,,257224,has_record_notations; large_file_possibly_multi_meet
01NoGuts.htm,Results,public/LiftTilYaDie/Results/01NoGuts.htm,False,2001 NO GUTS ~ NO GLORY OPEN,2001,2001,,,,33745,duplicate_exists_in_root
01NorCal.htm,Results,public/LiftTilYaDie/Results/01NorCal.htm,False,2001 NORTHERN CALIFORNIA/SACRAMENTO OPEN,2001,2001,,"Sacramento Open SACRAMENTO, CA",,19566,
01PWAChp.htm,Results,public/LiftTilYaDie/Results/01PWAChp.htm,False,2001 PWA Championships,2001,2001,,,Jim Schmitz,29849,
01SrNats.htm,Results,public/LiftTilYaDie/Results/01SrNats.htm,True,2001 SENIOR NATIONALS,"APRIL 20 - 22, 2001",2001-04-20,2001-04-22,SENIOR NATIONALS,,115246,duplicate_exists_in_root; has_record_notations
01TryOut.htm,Results,public/LiftTilYaDie/Results/01TryOut.htm,True,2001 USA Weightlifting World Team Tryouts,"June 16, 2001",2001-06-16,2001-06-16,"World Team Tryouts Dallas, TX",,27930,duplicate_exists_in_root; has_record_notations
02AmOpen.htm,Results,public/LiftTilYaDie/Results/02AmOpen.htm,True,2002 AMERICAN OPEN,"DECEMBER 6 - 8, 2002",2002-12-06,2002-12-08,DOMESTIC DIVISION,,152330,has_record_notations; large_file_possibly_multi_meet
02BadMother.htm,Results,public/LiftTilYaDie/Results/02BadMother.htm,False,2002 BAD MOTHER OPEN,"July 27, 2002",2002-07-27,2002-07-27,Game Farm Park Amphitheater,,29804,
02GldWst.htm,Results,public/LiftTilYaDie/Results/02GldWst.htm,False,39th ANNUAL GOLDEN WEST OPEN,2002,2002,,"A N N U A L GOLDEN WEST OPEN South San Francisco, CA",,36196,
02HighDesert.htm,Results,public/LiftTilYaDie/Results/02HighDesert.htm,False,2002 High Desert Open Results,2002,2002,,"Reno, NV",Jim Schmitz,33093,
